date,shares_traded,amount_traded,open,high,low,close,fluctuation,transction
106/04/11,"2,766,674","275,407,977",101,101.5,99,99,-1.5,"1,796"
106/04/12,"5,727,961","580,949,021",101,102.5,100,102,3,"3,534"
106/04/13,"6,639,850","695,834,900",104,106,103,104,2,"3,742"
106/04/14,"4,407,784","447,320,400",104,104,100,100,-4,"2,424"
106/04/17,"5,031,092","503,935,800",102.5,103.5,98.3,100,0,"2,871"
106/04/18,"3,673,597","374,758,075",101.5,103,101,101.5,1.5,"1,993"
106/04/19,"5,688,811","581,420,911",100.5,104,100.5,101,-0.5,"2,928"
106/04/20,"4,813,022","481,819,380",101.5,101.5,99.5,99.5,-1.5,"2,601"
106/04/21,"3,583,456","358,351,907",100.5,101.5,99.5,99.6,0.1,"2,349"
106/04/24,"4,144,138","419,044,276",101,102.5,99.8,102.5,2.9,"2,357"
106/04/25,"7,044,794","732,177,576",102.5,105,102,104.5,2,"4,414"
106/04/26,"10,712,625","1,147,443,009",105.5,109,104.5,107,2.5,"5,450"
106/04/27,"4,491,016","477,564,196",106.5,107.5,105,106.5,-0.5,"2,891"
106/04/28,"24,319,452","2,767,144,320",105.5,117,105,112,5.5,"11,176"
106/05/02,"12,216,029","1,408,629,335",114,117.5,113,115.5,3.5,"6,547"
106/05/03,"5,814,284","666,137,592",115,116,113.5,113.5,-2,"3,312"
106/05/04,"6,199,135","719,311,161",114,117.5,114,117,3.5,"3,464"
106/05/05,"5,109,865","583,364,745",115,116,113,113,-4,"2,904"
106/05/08,"3,128,409","357,157,407",114,115,112.5,115,2,"1,912"
106/05/09,"6,927,757","799,762,390",115.5,118.5,113,113.5,-1.5,"3,877"
106/05/10,"3,043,409","348,395,035",114,116,112.5,115.5,2,"1,779"
106/05/11,"2,727,887","311,738,661",116,116,113,114,-1.5,"1,462"
106/05/12,"2,757,801","314,231,013",114,115,113,113,-1,"1,463"
106/05/15,"2,478,398","284,094,550",113.5,115.5,113.5,115,2,"1,382"
106/05/16,"6,394,584","744,692,160",115.5,119,114.5,115,0,"3,487"
106/05/17,"2,592,101","296,109,951",115,116,113.5,113.5,-1.5,"1,620"
106/05/18,"5,016,186","559,944,704",110.5,114,109.5,114,0.5,"2,218"
106/05/19,"1,455,365","164,989,555",115,115,112.5,112.5,-1.5,"1,088"
106/05/22,"2,400,831","273,447,903",113.5,115,112.5,113,0.5,"1,396"
106/05/23,"1,851,861","210,002,793",113.5,115,112.5,112.5,-0.5,"1,196"
106/05/24,"1,261,156","142,594,541",113.5,113.5,112.5,113,0.5,914
106/05/25,"2,073,281","233,690,472",113,113.5,112,113,0,"1,289"
106/05/26,"4,367,562","488,437,641",113.5,113.5,111,111.5,-1.5,"2,245"
106/05/31,"5,635,183","606,377,974",112,112.5,106,106.5,-5,"3,281"
106/06/01,"3,828,477","408,072,761",106.5,108,105.5,107.5,1,"2,391"
106/06/02,"1,937,009","209,806,972",108.5,109.5,107.5,108.5,1,"1,347"
106/06/03,"1,452,270","159,164,970",108.5,111,108,111,2.5,993
106/06/05,"3,343,080","373,608,880",112,113.5,111,111.5,0.5,"2,380"
106/06/06,"1,899,171","210,305,310",111.5,111.5,110,110.5,-1,"1,245"
106/06/07,"1,823,476","201,162,884",111,111.5,109.5,109.5,-1,"1,408"
106/06/08,"6,279,088","712,936,966",110,115,110,114,4.5,"3,992"
106/06/09,"3,090,548","353,258,472",114,115,113,114.5,0.5,"2,192"
106/06/12,"2,828,259","317,858,633",113,113.5,111,112.5,-2,"1,659"
106/06/13,"1,639,827","183,099,700",111.5,112.5,111,112,-0.5,"1,217"
106/06/14,"7,200,495","800,677,955",113,115,108,109,-3,"2,983"
106/06/15,"1,704,890","186,179,900",109,110,108,110,1,"1,147"
106/06/16,"1,527,014","169,013,554",110,111.5,109,111,1,"1,096"
106/06/19,"2,834,699","321,137,823",111.5,115,110.5,114,3,"1,701"
106/06/20,"3,230,894","371,019,022",115,116.5,113,113,-1,"2,091"
106/06/21,"5,279,562","607,093,326",114,116.5,113,114.5,1.5,"3,253"
106/06/22,"7,898,322","929,680,318",116,119.5,115,119.5,5,"4,442"
106/06/23,"4,164,886","489,694,276",118,119,116.5,116.5,-3,"2,455"
106/06/26,"3,685,420","429,321,416",117,118,115,117,0.5,"2,147"
106/06/27,"1,746,617","202,694,572",117,117.5,115,116,-1,"1,042"
106/06/28,"5,081,674","576,319,162",114.5,115.5,112,112.5,-3.5,"3,251"
106/06/29,"4,722,842","527,493,962",113.5,114,110,111,-1.5,"3,137"
106/06/30,"2,841,714","320,339,242",110,114.5,109.5,114.5,3.5,"1,693"
106/07/03,"1,850,206","209,811,872",114,114.5,112.5,113,-1.5,"1,441"
